id,name,host_name,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365
2539,Clean & quiet apt home by the park,John,Brooklyn,40.647490000000005,-73.97237,Private room,149,1,9,365
2595,Skylit Midtown Castle,Jennifer,Manhattan,40.75362,-73.98376999999999,Entire home/apt,225,1,45,355
3647,THE VILLAGE OF HARLEM....NEW YORK !,Elisabeth,Manhattan,40.809020000000004,-73.9419,Private room,150,3,0,365
3831,Cozy Entire Floor of Brownstone,LisaRoxanne,Brooklyn,40.685140000000004,-73.95976,Entire home/apt,89,1,270,194
5099,Large Cozy 1 BR Apartment In Midtown East,Chris,Manhattan,40.74767,-73.975,Entire home/apt,200,3,74,129
5178,Large Furnished Room Near B'way ,Shunichi,Manhattan,40.76489,-73.98493,Private room,79,2,430,220
5238,Cute & Cozy Lower East Side 1 bdrm,Ben,Manhattan,40.713440000000006,-73.99037,Entire home/apt,150,1,160,188
5295,Beautiful 1br on Upper West Side,Lena,Manhattan,40.80316,-73.96545,Entire home/apt,135,5,53,6
5441,Central Manhattan/near Broadway,Kate,Manhattan,40.76076,-73.98867,Private room,85,2,188,39
5803,"Lovely Room 1, Garden, Best Area, Legal rental",Laurie,Brooklyn,40.66829,-73.98779,Private room,89,4,167,314
6021,Wonderful Guest Bedroom in Manhattan for SINGLES,Claudio,Manhattan,40.79826,-73.96113000000001,Private room,85,2,113,333
6848,Only 2 stops to Manhattan studio,Allen & Irina,Brooklyn,40.70837,-73.95352,Entire home/apt,140,2,148,46
7097,Perfect for Your Parents + Garden,Jane,Brooklyn,40.69169,-73.97185,Entire home/apt,215,2,198,321
7322,Chelsea Perfect,Doti,Manhattan,40.74192,-73.99501,Private room,140,1,260,12
7726,Hip Historic Brownstone Apartment with Backyard,Adam And Charity,Brooklyn,40.67592,-73.94694,Entire home/apt,99,3,53,21
7750,Huge 2 BR Upper East  Cental Park,Sing,Manhattan,40.79685,-73.94872,Entire home/apt,190,7,0,249
8024,CBG CtyBGd HelpsHaiti rm#1:1-4,Lisel,Brooklyn,40.680690000000006,-73.97706,Private room,130,2,130,347
8025,CBG Helps Haiti Room#2.5,Lisel,Brooklyn,40.67989,-73.97798,Private room,80,1,39,364
8110,CBG Helps Haiti Rm #2,Lisel,Brooklyn,40.680009999999996,-73.97865,Private room,110,2,71,304
8490,"MAISON DES SIRENES1,bohemian apartment",Nathalie,Brooklyn,40.68371,-73.94028,Entire home/apt,120,2,88,233
8505,Sunny Bedroom Across Prospect Park,Gregory,Brooklyn,40.65599,-73.97519,Private room,60,1,19,85
9357,Midtown Pied-a-terre,Tommi,Manhattan,40.76715,-73.98533,Entire home/apt,150,10,58,75
9518,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",Shon,Manhattan,40.86482,-73.92106,Private room,44,3,108,311
9657,Modern 1 BR / NYC / EAST VILLAGE,Dana,Manhattan,40.7292,-73.98541999999999,Entire home/apt,180,14,29,67
9668,front room/double bed,Ssameer Or Trip,Manhattan,40.82245,-73.95104,Private room,50,3,242,355
9704,Spacious 1 bedroom in luxe building,Teri,Manhattan,40.81305,-73.95466,Private room,52,2,88,255
9782,Loft in Williamsburg Area w/ Roof,Andrea,Brooklyn,40.722190000000005,-73.93762,Private room,55,4,197,284
9783,back room/bunk beds,Ssameer Or Trip,Manhattan,40.8213,-73.95318,Private room,50,3,273,359
10452,Large B&B Style rooms,Angela,Brooklyn,40.6831,-73.95473,Private room,70,1,74,269
10962,"Lovely room 2 & garden; Best area, Legal rental",Laurie,Brooklyn,40.668690000000005,-73.9878,Private room,89,4,168,340
11452,Clean and Quiet in Brooklyn,Vt,Brooklyn,40.688759999999995,-73.94312,Private room,35,60,0,365
11708,Cute apt in artist's home,Tyrome,Brooklyn,40.701859999999996,-73.92745,Entire home/apt,85,2,231,22
11943,Country space in the city,Harriet,Brooklyn,40.63702,-73.96327,Private room,150,1,0,365
12048,LowerEastSide apt share shortterm 1,Ben,Manhattan,40.714009999999995,-73.98917,Shared room,40,1,214,188
12192,ENJOY Downtown NYC!,Edward,Manhattan,40.7229,-73.98199,Private room,68,2,245,96
12299,Beautiful Sunny Park Slope Brooklyn,Abdul,Brooklyn,40.66278,-73.97966,Entire home/apt,120,3,15,345
12303,1bdr w private bath. in lofty apt,Yolande,Brooklyn,40.69673,-73.97584,Private room,120,7,25,311
12318,West Side Retreat,Cyn,Manhattan,40.79009,-73.97927,Private room,135,4,81,273
12343,BEST BET IN HARLEM,Earl,Manhattan,40.81175,-73.94478000000001,Entire home/apt,150,7,97,309
12627,Entire apartment in central Brooklyn neighborhood.,Rana,Brooklyn,40.659440000000004,-73.96238000000001,Entire home/apt,150,29,11,95
12937,"1 Stop fr. Manhattan! Private Suite,Landmark Block",Orestes,Queens,40.74771,-73.9474,Private room,130,3,248,215
12940,Charming Brownstone 3 - Near PRATT,Adreinne,Brooklyn,40.68111,-73.95591,Entire home/apt,110,7,61,265
13394,Fort Greene brownstone ,Alexander,Brooklyn,40.69142,-73.97376,Private room,80,3,135,192
13808,Blue Room for 2 in Brownstone for $1350 monthly,JT And Tiziana,Brooklyn,40.68043,-73.93934,Private room,80,1,112,251
14287,Cozy 1BD on Central Park West in New York City,Joya,Manhattan,40.78635,-73.97008000000001,Entire home/apt,151,2,73,302
14290,* ORIGINAL BROOKLYN LOFT *,James,Brooklyn,40.7042,-73.9356,Entire home/apt,228,3,82,140
14314,Greenpoint Place...Has It All! ,Jeanne,Brooklyn,40.73506,-73.95392,Entire home/apt,144,2,328,234
14322,Beautiful Apartment in Manhattan!!!,Francesca,Manhattan,40.73961,-73.98074,Entire home/apt,200,7,19,257
